letterboxd_title,letterboxd_year,rating,liked,tmdb_id,tmdb_title,genres,runtime,release_year,original_language,director,tmdb_vote_avg,tmdb_vote_count,tmdb_popularity,budget,imdb_rating,imdb_votes,rt_score,awards,country
La Haine,1995,5.0,1,406,La Haine,Drama,98,1995,fr,Mathieu Kassovitz,8.085,4494,7.1621,2600000,8.1,223323,96,1,France
Do the Right Thing,1989,5.0,1,925,Do the Right Thing,Drama,120,1989,en,Spike Lee,7.765,1969,4.4603,6500000,7.9,123086,92,1,United States
There Will Be Blood,2007,5.0,1,7345,There Will Be Blood,Drama,158,2007,en,Paul Thomas Anderson,8.077,7342,10.6457,25000000,8.2,700517,91,1,United States
The Matrix,1999,5.0,1,603,The Matrix,Action|Science Fiction,136,1999,en,Lana Wachowski,8.241,27635,27.7242,63000000,8.7,2228203,83,1,United States
Lost in Translation,2003,4.0,1,153,Lost in Translation,Drama|Comedy|Romance,102,2003,en,Sofia Coppola,7.383,8000,8.5356,4000000,7.7,525233,95,1,United States
Past Lives,2023,3.0,0,666277,Past Lives,Drama|Romance,106,2023,en,Celine Song,7.716,2257,17.6887,12000000,7.8,169739,95,1,United States
Get Out,2017,3.0,0,419430,Get Out,Mystery|Thriller|Horror,104,2017,en,Jordan Peele,7.6,18735,11.8634,4500000,7.8,805598,98,1,United States
Pierrot le Fou,1965,4.5,1,2786,Pierrot le Fou,Drama|Romance|Crime,110,1965,fr,Jean-Luc Godard,7.34,928,2.6443,300000,7.4,39867,88,1,France
Drive My Car,2021,5.0,1,758866,Drive My Car,Drama,179,2021,ja,Ryusuke Hamaguchi,7.442,1473,5.111,1300000,7.5,74349,97,1,Japan
Four Nights of a Dreamer,1971,2.0,0,55847,Four Nights of a Dreamer,Drama|Romance,82,1972,fr,Robert Bresson,7.107,107,1.1469,0,7.3,3261,91,1,France
The Usual Suspects,1995,2.5,0,629,The Usual Suspects,Drama|Crime|Thriller,106,1995,en,Bryan Singer,8.2,11287,11.7316,6000000,8.5,1229658,87,1,United States
Apocalypse Now,1979,5.0,1,28,Apocalypse Now,Drama|War,147,1979,en,Francis Ford Coppola,8.268,8987,11.935,31500000,8.4,765157,91,1,United States
Mulholland Drive,2001,5.0,1,1018,Mulholland Drive,Thriller|Drama|Mystery,147,2001,en,David Lynch,7.803,6959,9.484,15000000,7.9,415244,84,1,France
Amélie,2001,3.0,0,194,Amélie,Comedy|Romance,122,2001,fr,Jean-Pierre Jeunet,7.919,12308,9.0463,10000000,8.3,834716,90,1,France
Heat,1995,3.0,0,949,Heat,Crime|Drama|Action,170,1995,en,Michael Mann,7.931,8222,16.3967,60000000,8.3,793928,84,1,United States
The Shawshank Redemption,1994,3.5,1,278,The Shawshank Redemption,Drama|Crime,142,1994,en,Frank Darabont,8.718,30083,47.7653,25000000,9.3,3164324,89,1,United States
Yi Yi,2000,4.0,1,25538,Yi Yi,Drama,174,2000,zh,Edward Yang,7.944,659,5.5565,0,8.1,33452,,1,Taiwan
Back to the Future,1985,3.5,1,105,Back to the Future,Adventure|Comedy|Science Fiction,116,1985,en,Robert Zemeckis,8.325,21594,25.429,19000000,8.5,1436086,93,1,United States
Anatomy of a Fall,2023,4.0,1,915935,Anatomy of a Fall,Thriller|Mystery|Crime,151,2023,fr,Justine Triet,7.523,3223,5.836,6700000,7.6,205092,96,1,France
L'Argent,1983,3.5,1,42112,L'Argent,Crime|Drama,85,1983,fr,Robert Bresson,6.937,285,1.673,0,7.4,12253,97,1,France
Parasite,2019,4.0,1,496243,Parasite,Comedy|Thriller|Drama,133,2019,ko,Bong Joon Ho,8.493,20389,33.5434,11363000,8.5,1148210,99,1,South Korea
City of God,2002,4.0,1,598,City of God,Drama|Crime,129,2002,pt,Fernando Meirelles,8.429,8094,14.7984,3300000,8.6,865072,91,1,Brazil
Touki Bouki,1973,4.5,1,77771,Touki Bouki,Drama|Romance,91,1973,wo,Djibril Diop Mambéty,6.65,113,0.6367,0,7.0,4356,88,1,Senegal
Friday,1995,3.5,1,10634,Friday,Comedy|Drama,91,1995,en,F. Gary Gray,7.138,1984,6.5547,3500000,7.2,134571,,1,United States
Paid in Full,2002,4.0,1,13098,Paid in Full,Action|Crime|Drama,98,2002,en,Charles Stone III,6.8,238,2.3092,0,7.0,15764,53,1,United States
Oldboy,2003,4.0,1,670,Oldboy,Drama|Thriller|Mystery|Action,120,2003,ko,Park Chan-wook,8.239,9712,17.3838,3000000,8.3,710562,82,1,South Korea
Portrait of a Lady on Fire,2019,3.5,1,531428,Portrait of a Lady on Fire,Drama|Romance,121,2019,fr,Céline Sciamma,8.099,2892,6.7257,5740000,8.0,124344,97,1,France
Breathless,1960,4.0,1,269,Breathless,Drama|Crime,90,1960,fr,Jean-Luc Godard,7.5,2015,3.9581,80000,7.7,92351,95,1,France
Cléo from 5 to 7,1962,3.5,1,499,Cléo from 5 to 7,Drama,90,1962,fr,Agnès Varda,7.657,765,4.3101,0,7.8,30401,93,1,France
Ghost in the Shell,1995,3.0,0,9323,Ghost in the Shell,Action|Animation|Science Fiction,83,1995,ja,Mamoru Oshii,7.929,3826,9.0004,3000000,7.9,171829,95,1,Japan
Dune,2021,2.5,0,438631,Dune,Science Fiction|Adventure,155,2021,en,Denis Villeneuve,7.78,14694,25.3612,165000000,8.0,1026107,83,1,United States
A Summer's Tale,1996,4.0,1,37563,A Summer's Tale,Romance|Drama|Comedy,114,1996,fr,Éric Rohmer,7.3,255,1.071,0,7.6,11783,98,1,France
Punch-Drunk Love,2002,3.0,0,8051,Punch-Drunk Love,Romance|Drama|Comedy,96,2002,en,Paul Thomas Anderson,7.102,2704,4.6752,25000000,7.3,195534,79,1,United States
Taste of Cherry,1997,4.5,1,30020,Taste of Cherry,Drama,99,1997,fa,Abbas Kiarostami,7.7,695,4.6468,120000,7.7,40897,83,1,Iran
Beau Travail,1999,2.5,0,14626,Beau Travail,Drama,93,2000,fr,Claire Denis,7.108,358,2.5782,0,7.3,17708,87,1,France
Boogie Nights,1997,4.0,1,4995,Boogie Nights,Drama,156,1997,en,Paul Thomas Anderson,7.6,3517,6.5402,15000000,7.9,294236,91,1,United States
A Brighter Summer Day,1991,3.5,1,15804,A Brighter Summer Day,Crime|Drama|Romance,237,1991,zh,Edward Yang,8.253,380,6.5934,0,8.2,14580,100,1,Taiwan
Rosemary's Baby,1968,3.5,1,805,Rosemary's Baby,Drama|Horror|Thriller,138,1968,en,Roman Polanski,7.819,4323,5.5697,3200000,8.0,250536,97,1,United States
