,Title,Year,Director,Genres,P(Liked)
1,The Wagoner,1963,Ousmane Sembène,Drama,0.929
2,Ceddo,1977,Ousmane Sembène,Drama,0.926
3,The Young Girls of Rochefort,1967,Jacques Demy,Romance|Comedy|Drama,0.918
4,Les Bonnes Femmes,1960,Claude Chabrol,Drama,0.91
5,La Chinoise,1967,Jean-Luc Godard,Drama|Comedy,0.901
6,Masculin Féminin,1966,Jean-Luc Godard,Drama|Romance,0.901
7,Winter Sleep,2014,Nuri Bilge Ceylan,Drama,0.889
8,Contempt,1963,Jean-Luc Godard,Drama|Romance,0.888
9,Mandabi,1968,Ousmane Sembène,Comedy|Drama,0.888
10,The Bride Wore Black,1968,François Truffaut,Crime|Drama|Mystery,0.884
11,Guelwaar,1992,Ousmane Sembène,Drama,0.883
12,The Wind Will Carry Us,1999,Abbas Kiarostami,Drama,0.882
13,Network,1976,Sidney Lumet,Drama,0.881
14,The Little Girl Who Sold the Sun,1999,Djibril Diop Mambéty,Drama,0.879
15,Army of Shadows,1969,Jean-Pierre Melville,War|Drama|Thriller|History,0.873
16,Brief Encounter,1945,David Lean,Drama|Romance,0.869
17,A Woman Is a Woman,1961,Jean-Luc Godard,Comedy|Drama|Romance,0.865
18,La Collectionneuse,1967,Éric Rohmer,Drama|Romance,0.864
19,Blue Collar,1978,Paul Schrader,Drama|Crime,0.863
20,Torment,1994,Claude Chabrol,Drama|Thriller,0.862
21,The Last Metro,1980,François Truffaut,Drama|Romance|War,0.862
22,"Life, and Nothing More…",1992,Abbas Kiarostami,Drama|Adventure,0.861
23,About Dry Grasses,2023,Nuri Bilge Ceylan,Drama,0.86
24,Le Doulos,1962,Jean-Pierre Melville,Drama|Thriller|Crime,0.859
25,"Léon Morin, Priest",1961,Jean-Pierre Melville,Drama|Romance,0.857
26,The Little Soldier,1963,Jean-Luc Godard,Drama|Romance,0.855
27,The Elephant Man,1980,David Lynch,Drama|History,0.854
28,Where Is the Friend's House?,1987,Abbas Kiarostami,Drama|Adventure,0.851
29,A Grin Without a Cat,1977,Chris Marker,Documentary,0.851
30,Notre Musique,2004,Jean-Luc Godard,Drama,0.851
31,After Life,1998,Hirokazu Kore-eda,Fantasy|Drama,0.849
32,Stalker,1979,Andrei Tarkovsky,Science Fiction|Drama,0.847
33,Still Walking,2008,Hirokazu Kore-eda,Drama|Family,0.846
34,Happy Hour,2015,Ryusuke Hamaguchi,Drama,0.846
35,The Wind Rises,2013,Hayao Miyazaki,Animation|Drama|History|Romance,0.84
36,A Scene at the Sea,1991,Takeshi Kitano,Drama|Romance|Comedy,0.837
37,The Bridge on the River Kwai,1957,David Lean,Drama|History|War,0.836
38,Kids Return,1996,Takeshi Kitano,Drama|Crime,0.833
39,Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Adventure|Animation|Fantasy,0.832
40,Maborosi,1995,Hirokazu Kore-eda,Drama,0.83
41,Psycho,1960,Alfred Hitchcock,Horror|Thriller|Mystery,0.829
