Date,Name,Year,Letterboxd URI,Rating
2023-12-18,La Haine,1995,https://boxd.it/2as8,5
2023-12-18,Do the Right Thing,1989,https://boxd.it/29gA,5
2023-12-20,There Will Be Blood,2007,https://boxd.it/20Z2,5
2024-01-23,The Matrix,1999,https://boxd.it/2a1m,5
2024-01-25,Lost in Translation,2003,https://boxd.it/2b0E,4
2024-01-28,Past Lives,2023,https://boxd.it/oNB8,3
2024-01-28,Get Out,2017,https://boxd.it/eOCm,3
2024-01-28,Pierrot le Fou,1965,https://boxd.it/26j2,4.5
2024-01-29,Drive My Car,2021,https://boxd.it/sv94,5
2024-02-02,Four Nights of a Dreamer,1971,https://boxd.it/qRa,2
2024-02-03,The Usual Suspects,1995,https://boxd.it/29XE,2.5
2024-02-03,Apocalypse Now,1979,https://boxd.it/6ZS,5
2024-02-04,Mulholland Drive,2001,https://boxd.it/297o,5
2024-02-05,Amélie,2001,https://boxd.it/2aUc,3
2024-02-07,Heat,1995,https://boxd.it/2bg8,3
2024-02-07,The Shawshank Redemption,1994,https://boxd.it/2aHi,3.5
2024-02-08,Yi Yi,2000,https://boxd.it/1vCw,4
2024-02-08,Back to the Future,1985,https://boxd.it/2b8e,3.5
2024-02-09,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2024-02-16,L'Argent,1983,https://boxd.it/XIg,3.5
2024-02-20,Parasite,2019,https://boxd.it/hTha,4
2024-02-20,City of God,2002,https://boxd.it/2a2a,4
2024-02-22,Touki Bouki,1973,https://boxd.it/2H44,4.5
2024-02-24,Friday,1995,https://boxd.it/1VLO,3.5
2024-02-24,Paid in Full,2002,https://boxd.it/1QQu,4
2024-02-24,Oldboy,2003,https://boxd.it/29R2,4
2024-02-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,3.5
2024-02-28,Breathless,1960,https://boxd.it/2aIK,4
2024-03-02,Cléo from 5 to 7,1962,https://boxd.it/2agm,3.5
2024-03-15,Ghost in the Shell,1995,https://boxd.it/1YYc,3
2024-03-17,Dune,2021,https://boxd.it/fA7G,2.5
2024-04-16,A Summer's Tale,1996,https://boxd.it/183e,4
2024-04-19,Punch-Drunk Love,2002,https://boxd.it/20E4,3
2024-04-22,Taste of Cherry,1997,https://boxd.it/1m8W,4.5
2024-04-26,Beau Travail,1999,https://boxd.it/1NI8,2.5
2024-04-26,Boogie Nights,1997,https://boxd.it/23um,4
2024-04-29,A Brighter Summer Day,1991,https://boxd.it/1Luy,3.5
2024-05-21,Rosemary's Baby,1968,https://boxd.it/29zM,3.5
2024-05-21,Mars Express,2023,https://boxd.it/lATC,3
2024-05-31,Le Samouraï,1967,https://boxd.it/22ZI,3.5
2024-06-01,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,3
2024-06-01,Malcolm X,1992,https://boxd.it/27WE,4
2024-06-14,Close-Up,1990,https://boxd.it/1m9q,5
2024-06-21,Incendies,2010,https://boxd.it/Msm,3
2024-06-22,The Deer Hunter,1978,https://boxd.it/1T6O,3
2024-06-23,The Green Ray,1986,https://boxd.it/t8W,2.5
2024-06-26,Akira,1988,https://boxd.it/2b1i,3.5
2024-06-26,"The Devil, Probably",1977,https://boxd.it/1hJe,4
2024-06-28,Black Girl,1966,https://boxd.it/3jIQ,4
2024-06-28,Shoplifters,2018,https://boxd.it/ifY6,4.5
2024-06-28,Menace II Society,1993,https://boxd.it/1Yuc,4
2024-06-28,Dog Day Afternoon,1975,https://boxd.it/29bg,4.5
2024-06-28,Chinatown,1974,https://boxd.it/29vU,4.5
2024-07-17,Blue Velvet,1986,https://boxd.it/29BI,4.5
